#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
7075601|2016-08-24T02:23:40.540000|42.8273|13.2442|7.6|BULLETIN-INGV||||ML|3.3|--|7 km NW Arquata del Tronto (AP)|earthquake
7075661|2016-08-24T02:24:43.290000|42.6153|13.2673|10.7|BULLETIN-INGV||||ML|3.2|--|2 km SW Amatrice (RI)|earthquake
7075791|2016-08-24T02:27:17.800000|42.6478|13.2547|10.0|BULLETIN-INGV||||ML|2.8|--|3 km NW Amatrice (RI)|earthquake
7075841|2016-08-24T02:27:51.440000|42.7955|13.2262|6.7|BULLETIN-INGV||||ML|3.0|--|6 km W Arquata del Tronto (AP)|earthquake
7075851|2016-08-24T02:28:02.220000|42.7977|13.1613|7.7|BULLETIN-INGV||||ML|3.1|--|6 km E Norcia (PG)|earthquake
7075961|2016-08-24T02:28:58.280000|42.6197|13.2663|10.7|BULLETIN-INGV||||ML|3.2|--|2 km SW Amatrice (RI)|earthquake
7076031|2016-08-24T02:30:50.090000|42.832|13.1438|8.0|BULLETIN-INGV||||ML|3.3|--|6 km NE Norcia (PG)|earthquake
7076071|2016-08-24T02:31:39.120000|42.803|13.231|8.6|BULLETIN-INGV||||ML|3.1|--|6 km NW Arquata del Tronto (AP)|earthquake
7076121|2016-08-24T02:32:29.010000|42.8115|13.1438|9.1|BULLETIN-INGV||||ML|2.8|--|5 km E Norcia (PG)|earthquake
7076161|2016-08-24T02:33:28.890000|42.7922|13.1507|8.0|BULLETIN-INGV||||Mw|5.4|--|5 km E Norcia (PG)|earthquake
7076251|2016-08-24T02:36:15.920000|42.7807|13.1657|9.7|BULLETIN-INGV||||ML|2.8|--|6 km E Norcia (PG)|earthquake
7076351|2016-08-24T02:36:43.650000|42.7852|13.1558|10.1|BULLETIN-INGV||||ML|2.9|--|5 km E Norcia (PG)|earthquake
7076301|2016-08-24T02:38:02.490000|42.7647|13.1727|9.6|BULLETIN-INGV||||ML|3.1|--|7 km E Norcia (PG)|earthquake
7076371|2016-08-24T02:40:18.080000|42.6137|13.3003|9.6|BULLETIN-INGV||||ML|2.8|--|2 km SE Amatrice (RI)|earthquake
7076381|2016-08-24T02:41:32.780000|42.8125|13.1328|9.3|BULLETIN-INGV||||ML|2.5|--|4 km NE Norcia (PG)|earthquake
7076451|2016-08-24T02:43:14.980000|42.6427|13.2443|9.7|BULLETIN-INGV||||ML|2.9|--|4 km W Amatrice (RI)|earthquake
7076501|2016-08-24T02:44:53.630000|42.6322|13.2343|9.6|BULLETIN-INGV||||ML|2.8|--|5 km W Amatrice (RI)|earthquake
7076691|2016-08-24T02:45:16.710000|42.7337|13.2238|9.6|BULLETIN-INGV||||ML|2.7|--|5 km NW Accumoli (RI)|earthquake
7076581|2016-08-24T02:46:10.370000|42.7448|13.186|9.3|BULLETIN-INGV||||ML|3.3|--|7 km NW Accumoli (RI)|earthquake
